altProducts	category	categoryEng	commentCount	globalYn	id	japanYn	koreaYn	logoUrl	memos	name	nameEng	nation	productType	tags
['타임', '  시스템', ' 클럽모나코']	패션	fasion	14	False	68	False	False		[]	띠어리	Theory	일본	GENERAL	['#의류', '  #극우', '  #패션', '  #퍼스트리테일링', '  #FR']
['컨디션', ' 안티파흐멜린', ' 여명808']	약품	drug	4	False	67	False	False		[]	우콘파워	uconpower	일본	GENERAL	['#숙취', ' #해소제', ' #음주']
['이니스프리 올인원', ' 헤라 포맨', ' 미프']	화장품	cosmetic	43	False	66	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/ulos.jpg	[]	우르오스	ulos	일본	GENERAL	['#남자', ' #로션', ' #화장품']
['영창', ' 삼익', ' 노드 피아노']	기타	etc	17	False	64	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/yamaha.jpg	[]	야마하	yamaha	일본	GENERAL	['#악기', ' #오토바이', ' #피아노']
['스램', ' 캄파놀로']	기타	etc	14	False	63	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/shimano.jpg	[]	시마노	shimano	일본	GENERAL	['#자전거', ' #구동계']
['뱅앤올룹슨', ' 슈어']	가전제품	electric	2	False	58	False	False	http://drive.google.com/uc?export=view&id=1Nz60x-8x6Kci6y8W4lufJVHM_N3UEo-V	[]	어쿠스튠	acoustune	일본	GENERAL	['#이어폰', ' #헤드폰']
['아미퓨어', ' 클리오', ' 루나', ' 에스쁘아', ' 정샘물']	화장품	cosmetic	6	False	57	False	False	http://drive.google.com/uc?export=view&id=11-q3N5yQoo1BgET0GAbD9Nam7ijdGtZK	[]	시세이도	shiseido	일본	GENERAL	['#화장품', ' #나스', ' #로라메르시에']
['맥스', ' OB', ' 기네스']	음식	food	4	False	56	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/peroni.jpg	[]	페로니	Peroni	일본	GENERAL	['#술', ' #이탈리아', ' #맥주']
['스타우트', ' 기네스', ' 테라', ' 카스', ' 하이트']	음식	food	31	False	55	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/kozel.jpg	[]	코젤	KOZEL	일본	GENERAL	['#맥주', ' #술', ' #의외']
['OB프리미어', ' 벡스', ' 크롬바허']	음식	food	18	False	54	False	False	http://drive.google.com/uc?export=view&id=1z5yf7sciOytERKNQEyhw7ozDJfSRi7LT	[]	필스너우르켈	PilsnerUrquell	일본	GENERAL	['#음식', ' #맥주', ' #아사히', ' #술']
['Xbox', ' 스팀']	가전제품	electric	72	False	53	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/ps.jpg	[]	소니 플레이스테이션	Sony playstation	일본	GENERAL	['#게임', ' #게임기']
['벨루가', ' 로만손', '  해리엇', '  스와치']	패션	fashion	5	False	49	False	False	http://drive.google.com/uc?export=view&id=1R-972I4dxyDx7qU_qaW0NwgA-t0OzVPp	[]	로즈몽	Rosemont	일본	GENERAL	['#쥬얼리', ' #시계', ' #패션', ' #생활잡화']
['테크니스트', ' 주봉', ' 빅터', ' 칼톤', ' 패기앤코', ' 코트어드밴티지']	스포츠	sports	17	False	47	False	False	https://nonojapan.s3.ap-northeast-2.amazonaws.com/yonex.png	[]	요넥스	yonex	일본	GENERAL	['#배드민턴', ' #골프', ' #테니스', ' #라켓']
['소모렌즈', ' 한미스위스 렌즈', ' 케미렌즈', ' 칼자이스', ' 에실로']	생활	life	8	False	45	False	False	http://drive.google.com/uc?export=view&id=1kERfkedgquo9k_clBIrYKH67N92DbPFX	[]	호야렌즈	hoya lens	일본	GENERAL	['#안경렌즈', ' #렌즈']
