base_price	delivery_expected_date	delivery_type	discount_rate	href	is_soldout	item_id	name	price	product_id	rating	rating_count	vendor_item_id	brand_name	breadcrumb
	화요일 9/10 도착 예정			/vp/products/295038001?itemId=930579918&vendorItemId=5308379400		930579918	스팸 고급유 6호 구정선물 설선물세트 추석 명절 추석선물 설선물, 단품	36,650	295038001			5308379400	별도표기	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/36932357?itemId=136050443&vendorItemId=3291100552		136050443	사조해표 안심특선 22호 외 3종, 안심특선36호	8,900	36932357			3291100552	사조해표	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195576', '가루/조미료/오일'), ('/np/categories/195669', '식용유/오일'), ('/np/categories/195693', '식용유세트')]
	모레(토) 9/7 도착 예정			/vp/products/286485761?itemId=908329507&vendorItemId=5274225787		908329507	동원 단호 (동원참치 고추참치 야채참치 명절 선물세트 추석선물 설선물 캔세트), 입수량6	39,800	286485761			5274225787	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/286485530?itemId=908328905&vendorItemId=5274224641		908328905	동원 선호 (동원참치 고추참치 야채참치 명절 선물세트 추석선물 설선물 캔세트), 입수량4	48,000	286485530			5274224641	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/291207412?itemId=921221748&vendorItemId=5293220810		921221748	롯데 의성마늘 로스팜 특선 1호X4개/추석선물세트, 단품	204,000	291207412			5293220810	롯데	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/133414551?itemId=391985768&vendorItemId=3954057465		391985768	롯데 런천미트선물세트 추석선물세트 200g 12개입 4호	22,500	133414551			3954057465	롯데	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/64083154?itemId=217487492&vendorItemId=5299011890		217487492	담터 선물세트 8-1호, 1세트, 4종	14,600	64083154	4.0	(4)	5299011890	담터	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/196393', '선물세트관'), ('/np/categories/196423', '커피/차/음료'), ('/np/categories/196426', '차 선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/286486051?itemId=908330200&vendorItemId=5274229027		908330200	동원 태호 (동원참치 고추참치 야채참치 명절 선물세트 추석선물 설선물 캔세트), 입수량3	59,000	286486051			5274229027	파크몰	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	화요일 9/10 도착 예정			/vp/products/286547626?itemId=908497801&vendorItemId=5274542390		908497801	아놀드파마 여성캐주얼양말 5족선물세트 AP6602/여자양말선물세트/양말선물박스/여성양말선물세트/여자면양말/여성면양말/추석선물세트/추석양, AP6602_5족선물박스	17,200	286547626			5274542390	태영양말	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
	모레(토) 9/7 도착 예정			/vp/products/134156962?itemId=394081919&vendorItemId=3958990890		394081919	추석선물세트 CJ 특별한선택 2호, 본상품선택	54,620	134156962			3958990890	동원F&B	[('/', '쿠팡 홈'), ('/np/categories/194276', '식품'), ('/np/categories/195443', '면/통조림/가공식품'), ('/np/categories/195484', '참치/스팸/통조림류'), ('/np/categories/195539', '통조림세트'), ('/np/categories/195543', '통조림선물세트')]
