uid	user_name	helpful_count	write_count
66587082	지*영	3	45
115345868	김*주	0	62
133581	김*주	0	4
104991184	김*혜	2	99
16517585	김*선	155	372
2230737	김*현	0	36
112724435	박*경	0	9
63048148	최*희	1	9
3148253	배*윤	12	16
264671	이*구	0	8
100141537	김*경	0	62
114952678	유*호	0	22
106957292	정*빈	3	372
111806963	Y*N	0	2
109447671	김*리	17	148
58460671	박*연	1389	297
14420483	조*현	0	26
103156234	전*미	0	180
20711947	박*순	0	9
108136972	김*배	22	440
112069137	서*숙	0	14
35523090	정*근	2	57
7735827	권*정	3	305
105515541	신*선	0	44
4196886	김*리	0	3
14682649	최*영	0	4
68422183	림s	230	974
24250920	류*숙	0	8
23071275	노*래	0	20
34605623	김*정	3	63
112724535	이*희	1	23
1575481	일랑이	0	9
15731256	정*용	0	7
104335927	이*미	0	5
10881598	봉*혜	0	22
109578821	성*순	0	25
104073798	이*미	5	128
106826310	바다나무	74	380
109709896	홍*람	11	3
41683526	이*주	1	8
2361932	양*나	0	13
59640397	박*자	27	96
38144590	김*숙	242	344
105777744	l*a	21	175
4590160	김*호	11	5
104860241	유*희	1	2
29100627	민*정	59	784
100534869	김*애	0	6
18614871	유*화	2	12
12061277	박*선	3	17
22415966	이*미	89	369
46140003	강*남	5	14
101190247	최*정	10	23
108268135	김*식	0	5
15075947	오*희	5	283
78121580	이*란	20	409
105646701	김*혜	1	4
106302059	박*돌	1	190
7866994	이*희	5	11
106170995	이*희	0	12
10619510	진*나	0	9
16910967	조*아	37	11
107743863	윤*경	1	16
17566327	윤*아	45	113
9439862	김*숙	4	33
105515639	오*순	0	2
20318848	정*지	17	24
105253509	홍*경	0	332
46402188	조*주	1	523
16779917	변*선	0	11
67111566	김*정	2	18
11012749	장*희	0	186
10488467	이*나	47	32
112462490	유*수	2	13
2099866	김*영	0	1
30018202	곽*진	2	6
29493918	김*경	23	100
112855717	정*경	0	3
109447845	L*A	0	486
14027429	이*광	17	58
58198699	김*	4	136
112462510	S*e	0	16
17697460	김*진	10	133
42601141	서*영	1	21
104204982	안*경	65	178
22678202	꿍해	1479	455
25430719	ma	253	865
58723007	김*하	0	10
12847812	피*희	0	58
116263622	이*진	0	2
107875015	오*식	1	3
16386759	서*진	120	115
23333576	정*선	7	60
2755272	문*연	5	28
16124623	구*영	12	177
112855760	김*욱	1	22
118754002	김*원	0	3
32115413	황*용	0	14
17697494	전*우	12	120
100928219	장*숙	0	32
7867100	안*주	3	24
115739356	허*만	0	4
111151838	이*숙	11	207
18877152	이*규	2	39
4459233	김*란	0	6
5114594	박*훈	3	34
17042153	김*정	7	42
118360812	남*수	1	1
40241906	신*우	2	19
7080691	김*균	3	28
63179508	김*심	30	38
11537147	백*길	5	66
8129275	송*리	0	1
100928258	이*영	0	5
102370051	주*영	59	174
41159430	김*희	35	18
108399368	신*규	10	134
78252809	차*우	4	165
101321482	김*우	0	3
54397707	김*숙	0	8
4983568	최*경	8	24
23726865	신*수	2	75
1444624	이*나	2	438
111151889	L*a	0	42
23726873	채송화	101	551
1051422	김*은	1	4
103811875	채*영	7	108
55577381	김*화	1	31
107481896	최*화	0	3
17042223	하*진	220	282
102632250	김*연	46	512
107875131	한*숙	0	8
77335360	김*애	4	19
21498694	오*영	0	10
105253706	오*진	113	291
115477326	김*진	5	15
5901135	김*현	0	30
109841232	안*경	1	20
102501201	한*희	47	6
112069458	김*선	1	32
107613010	A*a	0	82
108792655	gx3303	2	37
14814031	신*혜	0	29
3935062	이*영	3	16
105122646	장*옥	65	132
105384794	현*옥	0	282
102501210	다다리	83	1500
4066138	황*정	3	118
27265896	배*주	3	40
32901993	김*각	0	13
117705580	장*철	0	1
106695533	노*영	9	46
114166638	고*수	2	7
4066164	김*준	61	89
18615156	김*영	220	167
55315319	박*지	56	29
1444729	황*정	0	2
6818691	박*름	110	24
106695557	이*덕	2	71
117050261	이*훈	0	3
33819541	홍*화	7	24
114690974	윤*원	0	10
106695582	김*원	1	22
52169632	신*기	0	4
65932193	쪼마녀	105	580
4721571	이*명	7	58
16911269	구*자	149	75
104074154	김*선	0	1
21236653	전*자	1	13
658352	신*옥	2	12
111807414	박*람	0	1
30018488	L*A	0	581
13372347	김*영	59	186
114822077	김*수	0	5
116657085	제이드	12	102
49679301	한*규	0	3
110234570	P*A	9	465
100928459	내사랑쐬주	377	263
5901260	K1J3	114	200
42208208	강*지	14	71
18353107	최*연	1	2
49810388	또연마미	187	372
23727062	이*정	38	59
105778146	이*은	191	399
14027747	정*진	6	15
104991719	김*	0	2
20057064	강*아	7	123
78253033	이*은	213	242
22940648	조*라	0	3
103287795	신*식	0	6
54266871	지현	41	228
114166776	정*진	7	148
12585975	도*옥	1	3
110496762	이*환	1	16
9178108	강*훈	1	9
12979196	김*미	2	232
62393344	김*한	7	16
104860674	김*승	2	31
114035716	이*석	0	45
104336392	최*원	0	16
109579274	장*연	1	146
